rec_id,msgs,fixations,morph_type,lst_type,target,preview,sentence,boundary_index,sentence_len,boundary_shift,pre_target,post_target,type,TextBlock,adjusted_seq,trial_id,GD,FFD,GPD,FoM,trial_type
17,"['trial 1 start', 'trial 1 end']","FixationSequence[Fixation[762,587], ..., Fixation[1533,541]]",simple,3,lettuce,lattuga,To their frustration only some X and corn would grow in this poor soil.,30,77,-160.0,To their frustration only some , and corn would grow in this poor soil.,trial,TextBlock[To their frustrat...],"FixationSequence[Fixation[762,587], ..., Fixation[1533,534]]",1,221,221,221,n/a,cognate
18,"['trial 2 start', 'trial 2 end']","FixationSequence[Fixation[876,551], ..., Fixation[1244,550]]",simple,1,molecule,molecule,Even a solitary X remaining is incredibly unlikely.,15,58,-400.0,Even a solitary , remaining is incredibly unlikely.,trial,TextBlock[Even a solitary m...],"FixationSequence[Fixation[876,551], ..., Fixation[1244,534]]",2,207,207,207,n/a,identical
19,"['trial 3 start', 'trial 3 end']","FixationSequence[Fixation[799,553], ..., Fixation[1468,555]]",complex,2,genetics,genetics,Due to your particular X you have an increased risk of cancer.,22,69,-288.0,Due to your particular , you have an increased risk of cancer.,trial,TextBlock[Due to your parti...],"FixationSequence[Fixation[799,553], ..., Fixation[1468,534]]",3,324,183,324,183,identical
23,"['trial 4 start', 'trial 4 end']","FixationSequence[Fixation[1161,597], ..., Fixation[1376,526]]",complex,4,soloist,rbgvhkf,Jessica was a former X for the national orchestra in Paris.,20,65,-320.0,Jessica was a former , for the national orchestra in Paris.,trial,TextBlock[Jessica was a for...],"FixationSequence[Fixation[1161,597], ..., Fixation[1376,534]]",4,359,359,359,n/a,illegal_nonword
24,"['trial 5 start', 'trial 5 end']","FixationSequence[Fixation[734,550], ..., Fixation[1328,540]]",simple,1,paddle,paddle,We looked for the missing X all day but couldn't find it.,25,62,-240.0,We looked for the missing , all day but couldn't find it.,trial,TextBlock[We looked for the...],"FixationSequence[Fixation[734,550], ..., Fixation[1328,534]]",5,211,211,211,n/a,identical
25,"['trial 6 start', 'trial 6 end']","FixationSequence[Fixation[544,529], ..., Fixation[1555,546]]",simple,4,marathon,maratona,He missed the previous X and the one before that because of an injury.,22,77,-288.0,He missed the previous , and the one before that because of an injury.,trial,TextBlock[He missed the pre...],"FixationSequence[Fixation[544,529], ..., Fixation[1555,534]]",6,398,259,398,259,cognate
26,"['trial 7 start', 'trial 7 end']","FixationSequence[Fixation[811,541], ..., Fixation[1539,544]]",simple,3,theorem,teorema,This is an impossible X for us to prove in a traditional way.,21,67,-304.0,This is an impossible , for us to prove in a traditional way.,trial,TextBlock[This is an imposs...],"FixationSequence[Fixation[811,541], ..., Fixation[1539,534]]",7,147,147,147,n/a,cognate
33,"['trial 8 start', 'trial 8 end']","FixationSequence[Fixation[1167,596], ..., Fixation[1323,536]]",simple,1,surprise,surprise,I hope your X isn't going to be spoiled.,11,47,-464.0,I hope your , isn't going to be spoiled.,trial,TextBlock[I hope your surpr...],"FixationSequence[Fixation[1167,596], ..., Fixation[1323,534]]",8,337,183,337,183,identical
34,"['trial 9 start', 'trial 9 end']","FixationSequence[Fixation[749,542], ..., Fixation[1686,564]]",complex,1,vastness,virteso ,She dreamt about green X filled with sweeping winds and fishing boats.,22,77,-288.0,She dreamt about green , filled with sweeping winds and fishing boats.,trial,TextBlock[She dreamt about ...],"FixationSequence[Fixation[749,542], ..., Fixation[1686,534]]",9,126,126,126,n/a,legal_nonword
35,"['trial 10 start', 'trial 10 end']","FixationSequence[Fixation[625,534], ..., Fixation[1566,554]]",complex,3,signals,sibnalo,Maybe some of those X aren't coming from outer space.,19,59,-336.0,Maybe some of those , aren't coming from outer space.,trial,TextBlock[Maybe some of tho...],"FixationSequence[Fixation[625,534], ..., Fixation[1566,534]]",10,216,216,216,n/a,legal_nonword
36,"['trial 11 start', 'trial 11 end']","FixationSequence[Fixation[634,523], ..., Fixation[1523,561]]",simple,1,surprise,sartrine,John could always X Jane on their anniversary.,17,53,-368.0,John could always , Jane on their anniversary.,trial,TextBlock[John could always...],"FixationSequence[Fixation[634,523], ..., Fixation[1523,534]]",11,180,180,180,n/a,legal_nonword
37,"['trial 12 start', 'trial 12 end']","FixationSequence[Fixation[686,568], ..., Fixation[1364,567]]",complex,1,zealous,teamosi,Max was a little X at first when talking to strangers.,16,60,-384.0,Max was a little , at first when talking to strangers.,trial,TextBlock[Max was a little ...],"FixationSequence[Fixation[686,568], ..., Fixation[1364,534]]",12,341,177,341,177,legal_nonword
38,"['trial 13 start', 'trial 13 end']","FixationSequence[Fixation[723,560], ..., Fixation[1316,529]]",complex,3,luxurious,lussuoso ,Sasha definitely had X tastes when it came to desserts.,20,63,-320.0,Sasha definitely had , tastes when it came to desserts.,trial,TextBlock[Sasha definitely ...],"FixationSequence[Fixation[723,560], ..., Fixation[1316,534]]",13,192,192,192,n/a,cognate
39,"['trial 14 start', 'trial 14 end']","FixationSequence[Fixation[536,554], ..., Fixation[1469,543]]",simple,3,nephew,nopete,Only a special X would agree to help his uncle for a year.,14,63,-416.0,Only a special , would agree to help his uncle for a year.,trial,TextBlock[Only a special ne...],"FixationSequence[Fixation[536,554], ..., Fixation[1469,534]]",14,152,152,152,n/a,legal_nonword
40,"['trial 15 start', 'trial 15 end']","FixationSequence[Fixation[530,520], ..., Fixation[1527,562]]",simple,2,sphere,vgqmxl,Inside there was a light X resting on a pillow.,24,52,-256.0,Inside there was a light , resting on a pillow.,trial,TextBlock[Inside there was ...],"FixationSequence[Fixation[530,520], ..., Fixation[1527,534]]",15,344,344,344,n/a,illegal_nonword
41,"['trial 16 start', 'trial 16 end']","FixationSequence[Fixation[500,532], ..., Fixation[1481,546]]",complex,4,european,europeo ,Half of the recent X car sales are reported to be electric cars.,18,71,-352.0,Half of the recent , car sales are reported to be electric cars.,trial,TextBlock[Half of the recen...],"FixationSequence[Fixation[500,532], ..., Fixation[1481,534]]",16,383,220,383,220,cognate
42,"['trial 17 start', 'trial 17 end']","FixationSequence[Fixation[937,566], ..., Fixation[1516,562]]",complex,3,jealousy,gelosia ,They displayed a certain X over Audrey's sudden freedom.,24,63,-256.0,They displayed a certain , over Audrey's sudden freedom.,trial,TextBlock[They displayed a ...],"FixationSequence[Fixation[937,566], ..., Fixation[1516,534]]",17,249,249,249,n/a,cognate
43,"['trial 18 start', 'trial 18 end']","FixationSequence[Fixation[462,532], ..., Fixation[1489,542]]",complex,1,furious,farinus,I'm still incredibly X that I wasn't invited to the birthday party.,20,73,-320.0,I'm still incredibly , that I wasn't invited to the birthday party.,trial,TextBlock[I'm still incredi...],"FixationSequence[Fixation[462,532], ..., Fixation[1489,534]]",18,200,200,200,n/a,legal_nonword
47,"['trial 19 start', 'trial 19 end']","FixationSequence[Fixation[1163,594], ..., Fixation[1463,547]]",simple,4,platoon,ybrkhdv,Last summer our former X went through training runs every morning.,22,72,-288.0,Last summer our former , went through training runs every morning.,trial,TextBlock[Last summer our f...],"FixationSequence[Fixation[1163,594], ..., Fixation[1463,534]]",19,375,375,1024,n/a,illegal_nonword
48,"['trial 20 start', 'trial 20 end']","FixationSequence[Fixation[619,549], ..., Fixation[1483,541]]",complex,2,nervous,mwcyqdg,She was especially X before the test since she hadn't studied.,18,68,-352.0,She was especially , before the test since she hadn't studied.,trial,TextBlock[She was especiall...],"FixationSequence[Fixation[619,549], ..., Fixation[1483,534]]",20,474,474,626,n/a,illegal_nonword
49,"['trial 21 start', 'trial 21 end']","FixationSequence[Fixation[478,537], ..., Fixation[1230,553]]",simple,4,hybrid,ibrido,The most recent X cars are even more fuel-efficient.,15,57,-400.0,The most recent , cars are even more fuel-efficient.,trial,TextBlock[The most recent h...],"FixationSequence[Fixation[478,537], ..., Fixation[1230,534]]",21,163,163,163,n/a,cognate
53,"['trial 22 start', 'trial 22 end']","FixationSequence[Fixation[764,598], ..., Fixation[1630,571]]",complex,1,pianists,pianists,She wanted three X in the concert but only two arrived.,16,62,-384.0,She wanted three , in the concert but only two arrived.,trial,TextBlock[She wanted three ...],"FixationSequence[Fixation[764,598], ..., Fixation[1630,534]]",22,379,239,379,239,identical
