index,morph_type,lst_type,target,preview,sentence
1,simple,2,change,change,Looks like more X than anyone expected at the beginning of the project.
2,simple,3,example,esempio,It has shown them a true X of how to fight back against wars. 
3,simple,4,genius,genio ,He has a certain X matched by his sympathy for all kinds of behaviour.
4,simple,1,horror,horror,"We all have interesting X stories we can tell, don't we?"
5,simple,2,hybrid,hybrid,The most recent X cars are even more fuel-efficient.
6,simple,3,hygiene,igiene ,The bags contained X items for the earthquake victims.
7,simple,4,island,isola ,The beauty of this amazing X is one of my best memories.
8,simple,1,lettuce,lettuce,To their frustration only some X and corn would grow in this poor soil.
9,simple,2,marathon,marathon,He missed the previous X and the one before that because of an injury.
10,simple,3,molecule,molecola,Even a solitary X remaining is incredibly unlikely.
11,simple,4,mountain,montagna,Reducing some of this X of paper would be nice.
12,simple,1,nephew,nephew,This time his wonderful X was there for Ben during his breakdown.
13,simple,2,nostril,nostril,I bought an electric X groomer from the same store.
14,simple,3,paddle,pagaia,We looked for the missing X all day but couldn't find it.
15,simple,4,parcel,pacco ,There was a large X on her doorstep when she got home.
16,simple,1,plaque,plaque,Choosing the right X to buy is not quite easy.
17,simple,2,platoon,platoon,Those in the first X were the ones who get hurt the worst.
18,simple,3,prophet,profeta,In centuries no other X had managed to unite them as he did.
19,simple,4,recruit,recluta,His recent favourite X was a tall muscular boy named Peter.
20,simple,1,resource,resource,It's an amazing X for young students interested in biology.
21,simple,2,rhythm,rhythm,It has a real X that you can easily dance to.
22,simple,3,school,scuola,Linda always disliked X when it was sunny outside.
23,simple,4,sphere,sfera ,After a while their X of influence started to increase.
24,simple,1,spinach,spinach,The look of the brownish X didn't appeal to him at all.
25,simple,2,sponge,sponge,A large square X sat on the side of the kitchen sink.
26,simple,3,surprise,sorpresa,I hope your X isn't going to be spoiled.
27,simple,4,synagogue,sinagoga ,No doubt this X has the most beautiful exterior.
28,simple,1,theorem,theorem,This is an impossible X for us to prove in a traditional way.
29,simple,2,throne,throne,The small purple X for the prince sat at the head of his table.
30,simple,3,trumpet,tromba ,A badly broken X lay in the middle of the deserted stage.
31,simple,4,vehicle,veicolo,It's definitely a great X for a large family.
32,simple,1,yellow,yellow,Yesterday he declared X alerts for several areas.
33,complex,2,romantics,romantics,He always criticized X when he couldn’t express his own feelings.
34,complex,3,sanity,sanità,Let's bring some X back into this debate.
35,complex,4,acidity,acidità,You can increase X by adding lemon juice to the mixture.
36,complex,1,audible,audible,It was almost X how excited she was at the news.
37,complex,2,density,density,Our bodies are the right X not to float away into space.
38,complex,3,furious,furioso,Brian was clearly X about the grade he got for his final exam.
39,complex,4,nervous,nervoso,With an unexpected X energy she ran faster and faster.
40,complex,1,signals,signals,He continued to display X on the side of the field to motivate players.
41,complex,2,soloist,soloist,That evening the only X in the orchestra was a violin player.
42,complex,3,zealous,zelante,Some people are more X than others at church.
43,complex,4,bandages,bendaggi,There were clean X left on the floor of the hospital.
44,complex,1,eruption,eruption,They are prepared for a potential X whenever it may come.
45,complex,2,firmness,firmness,He showed the same X with his children as with his soldiers.
46,complex,3,fortress,fortezza,She told us about the black X on a hill above all the land.
47,complex,4,genetics,genetica,Due to your particular X you have an increased risk of cancer.
48,complex,1,glorious,glorious,We really have X weather today with this sun.
49,complex,2,gracious,gracious,My mother was always X with her house guests.
50,complex,3,pianists,pianisti,She wanted three X in the concert but only two arrived.
51,complex,4,sculptor,scultore,Charles was the only X to have understood what I wanted.
52,complex,1,violence,violence,If you promote X then it might be used on you too.
53,complex,2,dignified,dignified,We need to develop X human rights laws for refugees.
54,complex,3,greatness,grandezza,Make your way towards X by pushing yourself to be better.
55,complex,4,sensitive,sensibile,The Arctic Ocean is more X to changes in climate.
56,complex,1,vigilance,vigilance,I appreciate your tireless X in getting the truth out there.
57,complex,2,european,european,Half of the recent X car sales are reported to be electric cars.
58,complex,3,historic,storico ,What an excitingly X setting for the last race of the season.
59,complex,4,humidity,umidità ,I think higher X feels worse than having higher temperatures.
60,complex,1,jealousy,jealousy,They displayed a certain X over Audrey's sudden freedom.
61,complex,2,northern,northern,It's located between X Spain and the south of France.
62,complex,3,vastness,vastità ,The snowy white X of the North Pole makes it difficult to survive.
63,complex,4,asthmatic,asmatico ,He quickly became X and had trouble breathing.
64,complex,1,luxurious,luxurious,Sasha definitely had X tastes when it came to desserts.
65,simple,2,change,qdzljy,There has been no huge X in the use of this tool in the last decade.
66,simple,3,example,enamert,We must consider the previous X of collaboration between the two labs.
67,simple,4,genius,tvkxmh,She is one of those X characters who don't work hard but succeed anyway.
68,simple,1,horror,orpora,Think of it as a typical X film where the monsters end up defeated.
69,simple,2,hybrid,tslwxg,I decided to invent X bicycles because the planet needed our help.
70,simple,3,hygiene,agiene ,You need good X in the operating room.
71,simple,4,island,yrbgqh,Our own little X of personal space is our table in the restaurant.
72,simple,1,lettuce,loctune,This will keep your X fresh and crunchy all week long.
73,simple,2,marathon,vfcgszwk,The important thing during X training is not to run too quickly.
74,simple,3,molecule,maledule,For the journey every X will be reused in this sustainable spaceship.
75,simple,4,mountain,qslzwyfr,After this one there will be another X before the end of our quest.
76,simple,1,nephew,nopete,Only a special X would agree to help his uncle for a year.
77,simple,2,nostril,zwygmqv,In the right X there was a little circular piercing.
78,simple,3,paddle,pombre,Only one old blue X was left in the boat when they checked.
79,simple,4,parcel,hfjmwt,Jane recognised the bright X containing the books she had ordered.
80,simple,1,plaque,primue,The best way to eliminate X between your teeth is brushing them well.
81,simple,2,platoon,ybrkhdv,Last summer our former X went through training runs every morning.
82,simple,3,prophet,troglet,He found the young X at the back of the church.
83,simple,4,recruit,xzmdnbq,It looked like the newest X was going to fail his exams.
84,simple,1,resource,selorca ,The course introduces X management to combat global warning.
85,simple,2,rhythm,kjxgqs,He found a good X in the second quarter and scored thirty points.
86,simple,3,school,oscolo,With so much X work to do they didn't have time to travel much.
87,simple,4,sphere,vgqmxl,Inside there was a light X resting on a pillow.
88,simple,1,spinach,slinaco,After a short wait seven X bowls were brought to the table.
89,simple,2,sponge,qmxhkc,This type of natural X is exactly what you need to clean your house.
90,simple,3,surprise,sartrine,John could always X Jane on their anniversary.
91,simple,4,synagogue,lzcrjhwfx,You may expect every X to be different in some way.
92,simple,1,theorem,cheorea,It is a solid X now despite the time it took to prove it.
93,simple,2,throne,sbzvlm,He dashed into the crowded X room without hesitation.
94,simple,3,trumpet,prembe ,You shall be a fearless X of truth and a voice of godly influence.
95,simple,4,vehicle,pyjmgqd,Yesterday I saw another X on that street in the middle of the day.
96,simple,1,yellow,gollia,There were large X plates on the table for the main course.
97,complex,2,romantics,pvswfkdtb,All of those X out there believe that her lover married her.
98,complex,3,sanity,manitu,Any hope of a future X depended on our willingness to listen.
99,complex,4,acidity,lhxzfjb,Some slight additional X can always improve the taste.
100,complex,1,audible,aifible,The dog is definitely X when he spots a cat down the street.
101,complex,2,density,rfmcbvj,We need the right X of reflective bits to decrease solar radiation.
102,complex,3,furious,farinus,I'm still incredibly X that I wasn't invited to the birthday party.
103,complex,4,nervous,mwcyqdg,She was especially X before the test since she hadn't studied.
104,complex,1,signals,sibnalo,Maybe some of those X aren't coming from outer space.
105,complex,2,soloist,rbgvhkf,Jessica was a former X for the national orchestra in Paris.
106,complex,3,zealous,teamosi,Max was a little X at first when talking to strangers.
107,complex,4,bandages,hkyqmfrp,Please change your X every two days for it to heal.
108,complex,1,eruption,ecaptian,A completely unexpected X from the moka sprayed coffee on the walls.
109,complex,2,firmness,btjwqdyl,She detected an unusual X during a routine examination.
110,complex,3,fortress,firtesco,John had made a personal X of his library and was a private scholar.
111,complex,4,genetics,jwxmbryz,That is partly about X and partly about how you were raised.
112,complex,1,glorious,groritus,He would have been truly X as a king in his prime.
113,complex,2,gracious,vkmlyhjw,While still sounding X and complimenting his employees he resigned.
114,complex,3,pianists,peaniste,It's impressive how effortlessly X improvise when playing jazz.
115,complex,4,sculptor,jzghxmfq,A very controversial X designed this piece last year.
116,complex,1,violence,vielerce,Let's talk about X in a home environment between parents.
117,complex,2,dignified,lpxqhcvkm,He doesn't deserve a graceful X exit after what he's done.
118,complex,3,greatness,grentieno,George is exceptional at seeing X in someone young and training them.
119,complex,4,sensitive,qhgrxzpcw,There’s a possibility X data has been transmitted to scammers.
120,complex,1,vigilance,vagilasce,He needs great X for the task at hand to avoid making mistakes.
121,complex,2,european,gkmlcdht,That's a very X point of view on recycling.
122,complex,3,historic,miscori ,For this important X event to occur we need genuine cooperation.
123,complex,4,humidity,zrbncpfg,Try to maintain the right X and temperature to prevent spoiling.
124,complex,1,jealousy,fialoti ,A touch of friendly X can put a spark in a relationship.
125,complex,2,northern,qsxpzmbk,This is the great X tradition of coffee breaks called fika.
126,complex,3,vastness,virteso ,She dreamt about green X filled with sweeping winds and fishing boats.
127,complex,4,asthmatic,xvbwkgqly,Children often experience X attacks as a result of tobacco smoke.
128,complex,1,luxurious,lupritta ,They were moved to relatively X quarters when they complained.
