index,morph_type,lst_type,target,preview,sentence
1,simple,4,change,cambio,Looks like more X than anyone expected at the beginning of the project.
2,simple,1,example,example,It has shown them a true X of how to fight back against wars. 
3,simple,2,genius,genius,He has a certain X matched by his sympathy for all kinds of behaviour.
4,simple,3,horror,orrore,"We all have interesting X stories we can tell, don't we?"
5,simple,4,hybrid,ibrido,The most recent X cars are even more fuel-efficient.
6,simple,1,hygiene,hygiene,The bags contained X items for the earthquake victims.
7,simple,2,island,island,The beauty of this amazing X is one of my best memories.
8,simple,3,lettuce,lattuga,To their frustration only some X and corn would grow in this poor soil.
9,simple,4,marathon,maratona,He missed the previous X and the one before that because of an injury.
10,simple,1,molecule,molecule,Even a solitary X remaining is incredibly unlikely.
11,simple,2,mountain,mountain,Reducing some of this X of paper would be nice.
12,simple,3,nephew,nipote,This time one other X was there for Ben during his breakdown.
13,simple,4,nostril,narice ,I bought an electric X groomer from the same store.
14,simple,1,paddle,paddle,We looked for the missing X all day but couldn't find it.
15,simple,2,parcel,parcel,There was a large X on her doorstep when she got home.
16,simple,3,plaque,placca,Choosing the right X to buy is not quite easy.
17,simple,4,platoon,plotone,Those in the first X were the ones who get hurt the worst.
18,simple,1,prophet,prophet,In centuries no other X had managed to unite them as he did.
19,simple,2,recruit,recruit,His recent favourite X was a tall muscular boy named Peter.
20,simple,3,resource,risorsa ,It's an amazing X for young students interested in biology.
21,simple,4,rhythm,ritmo ,It has a real X that you can easily dance to.
22,simple,1,school,school,Linda always disliked X when it was sunny outside.
23,simple,2,sphere,sphere,After a while their X of influence started to increase.
24,simple,3,spinach,spinaci,The look of the brownish X didn't appeal to him at all.
25,simple,4,sponge,spugna,A large square X sat on the side of the kitchen sink.
26,simple,1,surprise,surprise,I hope your X isn't going to be spoiled.
27,simple,2,synagogue,synagogue,No doubt this X has the most beautiful exterior.
28,simple,3,theorem,teorema,This is an impossible X for us to prove in a traditional way.
29,simple,4,throne,trono ,The small purple X for the prince sat at the head of his table.
30,simple,1,trumpet,trumpet,A badly broken X lay in the middle of the deserted stage.
31,simple,2,vehicle,vehicle,It's definitely a great X for a large family.
32,simple,3,yellow,giallo,Yesterday he declared X alerts for several areas.
33,complex,4,romantics,romantici,He always criticized X when he couldn’t express his own feelings.
34,complex,1,sanity,sanity,Let's bring some X back into this debate.
35,complex,2,acidity,acidity,You can increase X by adding lemon juice to the mixture.
36,complex,3,audible,udibile,It was almost X how excited she was at the news.
37,complex,4,density,densità,Our bodies are the right X not to float away into space.
38,complex,1,furious,furious,Brian was clearly X about the grade he got for his final exam.
39,complex,2,nervous,nervous,With an unexpected X energy she ran faster and faster.
40,complex,3,signals,segnali,He continued to display X on the side of the field to motivate players.
41,complex,4,soloist,solista,That evening the only X in the orchestra was a violin player.
42,complex,1,zealous,zealous,Some people are more X than others at church.
43,complex,2,bandages,bandages,There were clean X left on the floor of the hospital.
44,complex,3,eruption,eruzione,They are prepared for a potential X whenever it may come.
45,complex,4,firmness,fermezza,He showed the same X with his children as with his soldiers.
46,complex,1,fortress,fortress,She told us about the black X on a hill above all the land.
47,complex,2,genetics,genetics,Due to your particular X you have an increased risk of cancer.
48,complex,3,glorious,gloriosa,We really have X weather today with this sun.
49,complex,4,gracious,grazioso,My mother was always X with her house guests.
50,complex,1,pianists,pianists,She wanted three X in the concert but only two arrived.
51,complex,2,sculptor,sculptor,Charles was the only X to have understood what I wanted.
52,complex,3,violence,violenza,If you promote X then it might be used on you too.
53,complex,4,dignified,dignitoso,We need to develop X human rights laws for refugees.
54,complex,1,greatness,greatness,Make your way towards X by pushing yourself to be better.
55,complex,2,sensitive,sensitive,The Arctic Ocean is more X to changes in climate.
56,complex,3,vigilance,vigilanza,I appreciate your tireless X in getting the truth out there.
57,complex,4,european,europeo ,Half of the recent X car sales are reported to be electric cars.
58,complex,1,historic,historic,What an excitingly X setting for the last race of the season.
59,complex,2,humidity,humidity,I think higher X feels worse than having higher temperatures.
60,complex,3,jealousy,gelosia ,They displayed a certain X over Audrey's sudden freedom.
61,complex,4,northern,nordico ,It's actually between X Spain and the south of France.
62,complex,1,vastness,vastness,The snowy white X of the North Pole makes it difficult to survive.
63,complex,2,asthmatic,asthmatic,He quickly became X and had trouble breathing.
64,complex,3,luxurious,lussuoso ,Sasha definitely had X tastes when it came to desserts.
65,simple,4,change,qdzljy,There might be some X in the use of this tool in the last decade.
66,simple,1,example,enamert,We must consider the previous X of collaboration between the two labs.
67,simple,2,genius,tvkxmh,She is one of those X characters who don't work hard but succeed anyway.
68,simple,3,horror,orpora,Think of it as a typical X film where the monsters end up defeated.
69,simple,4,hybrid,tslwxg,I decided to invent X bicycles because the planet needed our help.
70,simple,1,hygiene,agiene ,You need good X in the operating room.
71,simple,2,island,yrbgqh,Our own little X of personal space is our table in the restaurant.
72,simple,3,lettuce,loctune,This will keep your X fresh and crunchy all week long.
73,simple,4,marathon,vfcgszwk,The important thing during X training is not to run too quickly.
74,simple,1,molecule,maledule,For the journey every X will be reused in this sustainable spaceship.
75,simple,2,mountain,qslzwyfr,After this one there will be another X before the end of our quest.
76,simple,3,nephew,nopete,Only a special X would agree to help his uncle for a year.
77,simple,4,nostril,zwygmqv,In the right X there was a little circular piercing.
78,simple,1,paddle,pombre,Only one old blue X was left in the boat when they checked.
79,simple,2,parcel,hfjmwt,Jane recognised the bright X containing the books she had ordered.
80,simple,3,plaque,primue,The best way to eliminate X between your teeth is brushing them well.
81,simple,4,platoon,ybrkhdv,Last summer our former X went through training runs every morning.
